,Date,XIC,XFN
374,2002-09-26,0.002611282,0.014569131
375,2002-09-27,-0.011803681,-0.014569131
376,2002-09-30,0.010498981,0.016633033
377,2002-10-01,0.005207914,0.008213907
378,2002-10-02,-0.019672562,-0.026945009
379,2002-10-03,-0.011992059,-0.029851935
380,2002-10-04,-0.013495277,-0.010882241
381,2002-10-07,-0.01782109,-0.01543622
382,2002-10-08,0.005517359,0.024150192
383,2002-10-09,-0.025071139,-0.015300243
384,2002-10-10,0.022315984,0.023941097
385,2002-10-11,0.031231682,0.035905279
386,2002-10-15,0.044451274,0.048593296
387,2002-10-16,-0.011575433,-0.013930789
388,2002-10-17,0.02048714,0.035436445
389,2002-10-18,0.010088039,0.013449464
390,2002-10-21,0.003757418,0.001906502
391,2002-10-22,-0.015113583,-0.024683993
392,2002-10-23,0.003799907,0.011260766
393,2002-10-24,0.011313676,0
394,2002-10-25,-0.001250509,0.003853268
395,2002-10-28,0.009962236,-0.005786007
396,2002-10-29,-0.021290492,-0.025466053
397,2002-10-30,0.006309502,0
398,2002-10-31,-0.0101144,-0.020041195
399,2002-11-01,-0.001271351,0.010070803
400,2002-11-04,0.025127255,0.02922784
401,2002-11-05,-0.004975397,-0.011352734
402,2002-11-06,0.009925995,-0.003944317
403,2002-11-07,-0.006192465,-0.007936848
404,2002-11-08,-0.001491301,-0.00199394
405,2002-11-11,-0.019852655,-0.008016067
406,2002-11-12,0.008844319,0.002009661
407,2002-11-13,-0.006309502,0
408,2002-11-14,0.013828389,0.015937193
409,2002-11-15,0.009937819,0.007874653
410,2002-11-18,0.007389085,0.00391344
411,2002-11-19,-0.004919985,0.003898635
412,2002-11-20,0.004919985,0.009681275
413,2002-11-21,0.020644264,0.019083488
414,2002-11-22,-0.001202709,0.011278593
415,2002-11-25,0.005999134,0.011153232
416,2002-11-26,-0.019324471,-0.024323606
417,2002-11-27,0.020519506,0.015038002
418,2002-11-28,0.004767841,0.009285604
419,2002-11-29,-0.010759301,-0.009285604
420,2002-12-02,0.005991459,0.007434252
421,2002-12-03,0.007143104,-0.003710002
422,2002-12-04,-0.008338138,-0.001860679
423,2002-12-05,-0.010824326,-0.015009792
424,2002-12-06,0.008428989,0.009407326
425,2002-12-09,-0.012063018,-0.000374356
426,2002-12-10,0.00845922,0.013398855
427,2002-12-11,0.004802183,0
428,2002-12-12,0.003586564,0.005529176
429,2002-12-13,0.003573263,0.001837042
430,2002-12-16,0.005927691,0.007312494
431,2002-12-17,-0.011890566,-0.014678712
432,2002-12-18,-0.013245599,-0.007422033
433,2002-12-19,-0.003642525,-0.005602467
434,2002-12-20,0.006063797,0.003738895
435,2002-12-23,0.012077665,0.011230887
436,2002-12-24,-0.004813674,0.00185359
437,2002-12-27,-0.003625155,-0.009301639
438,2002-12-30,0.003625155,0.005591588
439,2002-12-31,0.003612547,-0.001860629
440,2003-01-02,0.01668684,0.009268152
441,2003-01-03,0.005892402,0.00918262
442,2003-01-06,0.015160642,0.014519333
443,2003-01-07,-0.004639934,-0.001803308
444,2003-01-08,-0.015232167,-0.014546012
445,2003-01-09,0.001180504,0.001829988
446,2003-01-10,0.01172289,0.005469676
447,2003-01-13,0.001165221,0.003629112
448,2003-01-14,0.002325594,0
449,2003-01-15,-0.005824394,-0.007637541
450,2003-01-16,0.00116747,0.002188573
451,2003-01-17,-0.009377987,-0.007313009
452,2003-01-20,0.00235216,0
453,2003-01-21,-0.011820371,-0.009216902
454,2003-01-22,0.00237547,0.001850871
455,2003-01-23,0.005913946,0.001846601
456,2003-01-24,-0.01305687,-0.020504062
457,2003-01-27,-0.014440594,-0.009460913
458,2003-01-28,0,0
459,2003-01-29,0.001211475,-0.003809278
460,2003-01-30,-0.00485391,-0.001910241
461,2003-01-31,0,0.009514777
462,2003-02-03,0.00485391,0.001892024
463,2003-02-04,-0.003639001,-0.001892024
464,2003-02-05,-0.006093484,-0.001896047
465,2003-02-06,-0.007362199,-0.009533215
466,2003-02-07,0.00246037,0
467,2003-02-10,-0.006161562,-0.009624379
468,2003-02-11,0.008614901,0.003860904
469,2003-02-12,-0.003682851,0.005763475
470,2003-02-13,-0.003696464,-0.003838525
471,2003-02-14,0.00615348,0.011472529
472,2003-02-17,0.014616818,0.026267503
473,2003-02-18,0.003620617,-0.00185359
474,2003-02-19,-0.006042101,-0.00371709
475,2003-02-20,0.002421484,0.001860629
476,2003-02-21,0.002415146,0.003710051
477,2003-02-24,-0.01335764,-0.014925824
478,2003-02-25,0,0.005624185
479,2003-02-26,0.007308066,0
480,2003-02-27,0.007255045,0.021815242
481,2003-02-28,0.002407077,-0.002563411
482,2003-03-03,-0.016970187,-0.013660242
483,2003-03-04,-0.007362199,-0.003723293
484,2003-03-05,0,-0.003739366
485,2003-03-06,-0.012391628,-0.011299534
486,2003-03-07,0.002490506,0.001892024
487,2003-03-10,-0.006237765,0
488,2003-03-11,-0.001252777,0
489,2003-03-12,-0.012610572,-0.011406801
490,2003-03-13,0.017610608,0.017061198
491,2003-03-14,-0.002496893,0
492,2003-03-17,0.017348891,0.018623295
493,2003-03-18,0.001227505,0.00551943
494,2003-03-19,0.007335033,0.007313009
495,2003-03-20,0.003647357,0.009066205
496,2003-03-21,0.010863248,0.00540006
497,2003-03-24,-0.022920182,-0.016378183
498,2003-03-25,-0.002472784,-0.005520069
499,2003-03-26,-0.002477748,0.00184327
500,2003-03-27,-0.001242097,-0.00184327
501,2003-03-28,0.004956836,-0.003697189
502,2003-03-31,-0.007444332,-0.014925977
503,2003-04-01,0,0.005624113
504,2003-04-02,0.012376554,0.014842322
505,2003-04-03,0,-0.005540459
506,2003-04-04,-0.001230901,0
